"category_id","name","url","parent","weight","count","created_on"
17,"Điện thoại Smartphone","https://tiki.vn/dien-thoai-smartphone/c1795?src=tree",1,"1",495,"2019-07-29 22:49:58.692015"
18,"Máy tính bảng","https://tiki.vn/may-tinh-bang/c1794?src=tree",1,"1",134,"2019-07-29 22:49:58.712569"
19,"Máy đọc sách","https://tiki.vn/may-doc-sach/c28856?src=tree",1,"1",27,"2019-07-29 22:49:58.732109"
20,"Điện thoại phổ thông","https://tiki.vn/dien-thoai-pho-thong/c1796?src=tree",1,"1",250,"2019-07-29 22:49:58.751446"
21,"Điện thoại bàn","https://tiki.vn/dien-thoai-ban/c8061?src=tree",1,"1",53,"2019-07-29 22:49:58.772087"
1,"Điện Thoại - Máy Tính Bảng","https://tiki.vn/dien-thoai-may-tinh-bang/c1789?src=c.1789.hamburger_menu_fly_out_banner",NULL,"1",959,"2019-07-29 22:49:57.898215"
22,"Tivi","https://tiki.vn/tivi/c5015?src=tree",2,"0.5",421,"2019-07-29 22:50:00.586071"
23,"Âm thanh & Phụ kiện Tivi","https://tiki.vn/am-thanh-phu-kien-tivi/c26568?src=tree",2,"0.5",2297,"2019-07-29 22:50:00.604753"
24,"Máy giặt","https://tiki.vn/may-giat/c3862?src=tree",2,"0.5",673,"2019-07-29 22:50:00.62523"
25,"Máy sấy quần áo","https://tiki.vn/may-say-quan-ao/c3863?src=tree",2,"0.5",44,"2019-07-29 22:50:00.644941"
26,"Máy rửa chén","https://tiki.vn/may-rua-chen/c3864?src=tree",2,"0.5",47,"2019-07-29 22:50:00.663708"
27,"Máy lạnh - Máy điều hòa","https://tiki.vn/may-lanh-may-dieu-hoa/c3865?src=tree",2,"0.5",638,"2019-07-29 22:50:00.682433"
28,"Máy nước nóng","https://tiki.vn/may-nuoc-nong/c3866?src=tree",2,"0.5",278,"2019-07-29 22:50:00.701825"
29,"Tủ lạnh","https://tiki.vn/tu-lanh/c2328?src=tree",2,"0.5",871,"2019-07-29 22:50:00.722238"
30,"Tủ đông - Tủ mát","https://tiki.vn/tu-dong-tu-mat/c3868?src=tree",2,"0.5",557,"2019-07-29 22:50:00.742001"
31,"Tủ ướp rượu","https://tiki.vn/tu-uop-ruou/c3869?src=tree",2,"0.5",41,"2019-07-29 22:50:00.761102"
32,"Phụ kiện điện lạnh","https://tiki.vn/phu-kien-dien-lanh/c8074?src=tree",2,"0.5",141,"2019-07-29 22:50:00.780788"
2,"Điện Tử - Điện Lạnh","https://tiki.vn/tivi-thiet-bi-nghe-nhin/c4221?src=c.4221.hamburger_menu_fly_out_banner",NULL,"0.5",6008,"2019-07-29 22:49:57.898215"
33,"Thiết bị âm thanh và phụ kiện","https://tiki.vn/thiet-bi-am-thanh-va-phu-kien/c8215?src=tree",3,"0.05",7967,"2019-07-29 22:50:01.326055"
34,"Thiết bị chơi game và phụ kiện","https://tiki.vn/thiet-bi-choi-game-va-phu-kien/c2667?src=tree",3,"0.05",1092,"2019-07-29 22:50:01.345357"
35,"Thiết bị đeo thông minh và phụ kiện","https://tiki.vn/thiet-bi-deo-thong-minh-va-phu-kien/c8039?src=tree",3,"0.05",1407,"2019-07-29 22:50:01.370717"
36,"Thiết bị thông minh và linh kiện điện tử","https://tiki.vn/thiet-bi-thong-minh-va-linh-kien-dien-tu/c28432?src=tree",3,"0.05",1375,"2019-07-29 22:50:01.391451"
37,"Phụ kiện điện thoại và máy tính bảng","https://tiki.vn/phu-kien-dien-thoai-va-may-tinh-bang/c8214?src=tree",3,"0.05",397430,"2019-07-29 22:50:01.411148"
38,"Phụ kiện máy tính và Laptop","https://tiki.vn/phu-kien-may-tinh-va-laptop/c28670?src=tree",3,"0.05",10576,"2019-07-29 22:50:01.431029"
3,"Phụ Kiện - Thiết Bị Số","https://tiki.vn/thiet-bi-kts-phu-kien-so/c1815?src=c.1815.hamburger_menu_fly_out_banner",NULL,"0.05",419847,"2019-07-29 22:49:57.898215"
39,"Laptop","https://tiki.vn/laptop/c8095?src=tree",4,"0.5",1152,"2019-07-29 22:50:02.084843"
40,"PC - Máy Tính Bộ","https://tiki.vn/pc-may-tinh-bo/c8093?src=tree",4,"0.5",425,"2019-07-29 22:50:02.105894"
41,"Thiết bị lưu trữ","https://tiki.vn/thiet-bi-luu-tru/c8060?src=tree",4,"0.5",1261,"2019-07-29 22:50:02.12731"
42,"Thiết bị mạng","https://tiki.vn/thiet-bi-mang/c2663?src=tree",4,"0.5",1719,"2019-07-29 22:50:02.147567"
43,"Linh kiện máy tính, phụ kiện máy tính","https://tiki.vn/linh-kien-phu-kien-may-tinh/c8129?src=tree",4,"0.5",4432,"2019-07-29 22:50:02.167849"
44,"Thiết bị mạng","https://tiki.vn/thiet-bi-mang/c7284?src=tree",4,"0.5",356,"2019-07-29 22:50:02.189205"
45,"Thiết bị văn phòng - Thiết bị ngoại vi","https://tiki.vn/thiet-bi-van-phong-thiet-bi-ngoai-vi/c12884?src=tree",4,"0.5",5775,"2019-07-29 22:50:02.252093"
4,"Laptop - Thiết bị IT","https://tiki.vn/laptop-may-vi-tinh/c1846?src=c.1846.hamburger_menu_fly_out_banner",NULL,"0.5",15120,"2019-07-29 22:49:57.898215"
46,"Máy ảnh","https://tiki.vn/may-anh/c28806?src=tree",5,"0.5",387,"2019-07-29 22:50:02.747162"
47,"Phụ kiện máy ảnh, máy quay","https://tiki.vn/phu-kien-may-anh-may-quay/c1818?src=tree",5,"0.5",3825,"2019-07-29 22:50:02.766106"
48,"Balo - Túi đựng - Bao da","https://tiki.vn/balo-tui-dung-bao-da/c1840?src=tree",5,"0.5",914,"2019-07-29 22:50:02.785132"
49,"Ống kính, ống ngắm","https://tiki.vn/ong-kinh-ong-ngam/c28794?src=tree",5,"0.5",125,"2019-07-29 22:50:02.804491"
50,"Ống kính (Lens)","https://tiki.vn/ong-kinh-lens-may-anh/c2757?src=tree",5,"0.5",412,"2019-07-29 22:50:02.825655"
51,"Thiết bị ánh sáng","https://tiki.vn/thiet-bi-anh-sang/c28814?src=tree",5,"0.5",377,"2019-07-29 22:50:02.844846"
52,"Thiết bị quay phim","https://tiki.vn/thiet-bi-quay-phim/c28822?src=tree",5,"0.5",108,"2019-07-29 22:50:02.865099"
53,"Camera giám sát","https://tiki.vn/camera-giam-sat/c4077?src=tree",5,"0.5",2773,"2019-07-29 22:50:02.885419"
54,"Máy bay camera và phụ kiện","https://tiki.vn/may-bay-camera-va-phu-kien/c8047?src=tree",5,"0.5",97,"2019-07-29 22:50:02.905699"
6,"Điện Gia Dụng","https://tiki.vn/dien-gia-dung/c1882?src=c.1882.hamburger_menu_fly_out_banner",NULL,"0.5",12326,"2019-07-29 22:49:57.898215"
7,"Nhà Cửa Đời Sống","https://tiki.vn/nha-cua-doi-song/c1883?src=c.1883.hamburger_menu_fly_out_banner",NULL,"0.2",160167,"2019-07-29 22:49:57.898215"
8,"Hàng Tiêu Dùng - Thực Phẩm","https://tiki.vn/bach-hoa-online/c4384?src=c.4384.hamburger_menu_fly_out_banner",NULL,"0.2",20206,"2019-07-29 22:49:57.898215"
9,"Đồ chơi, Mẹ & Bé","https://tiki.vn/me-va-be/c2549?src=c.2549.hamburger_menu_fly_out_banner",NULL,"0.2",40004,"2019-07-29 22:49:57.898215"
113,"Nước hoa","https://tiki.vn/nuoc-hoa/c1595?src=tree",10,"0.2",1238,"2019-07-29 22:50:06.887311"
114,"Tinh dầu spa","https://tiki.vn/tinh-dau-spa/c11348?src=tree",10,"0.2",746,"2019-07-29 22:50:06.90796"
11,"Thời trang - Phụ kiện","https://tiki.vn/thoi-trang/c914?src=c.914.hamburger_menu_fly_out_banner",NULL,"0.2",213604,"2019-07-29 22:49:57.898215"
12,"Thể Thao - Dã Ngoại","https://tiki.vn/the-thao/c1975?src=c.1975.hamburger_menu_fly_out_banner",NULL,"0.7",17162,"2019-07-29 22:49:57.898215"
13,"Xe Máy, Ô tô, Xe Đạp","https://tiki.vn/o-to-xe-may-xe-dap/c8594?src=c.8594.hamburger_menu_fly_out_banner",NULL,"0.7",14697,"2019-07-29 22:49:57.898215"
14,"Hàng quốc tế","https://tiki.vn/hang-quoc-te/c17166?src=c.17166.hamburger_menu_fly_out_banner",NULL,"0.05",145976,"2019-07-29 22:49:57.898215"
15,"Sách, VPP & Quà Tặng","https://tiki.vn/nha-sach-tiki/c8322?src=c.8322.hamburger_menu_fly_out_banner",NULL,"0.05",105683,"2019-07-29 22:49:57.898215"
16,"Voucher - Dịch Vụ - Thẻ Cào","https://tiki.vn/voucher-dich-vu/c11312?src=c.11312.hamburger_menu_fly_out_banner",NULL,"0.7",4697,"2019-07-29 22:49:57.898215"
55,"Camera hành trình - Action camera và phụ kiện","https://tiki.vn/camera-hanh-trinh-action-camera-va-phu-kien/c28834?src=tree",5,"0.5",507,"2019-07-29 22:50:02.925244"
5,"Máy Ảnh - Quay Phim","https://tiki.vn/may-anh/c1801?src=c.1801.hamburger_menu_fly_out_banner",NULL,"0.5",9525,"2019-07-29 22:49:57.898215"
56,"Đồ dùng nhà bếp","https://tiki.vn/do-dung-nha-bep/c1884?src=tree",6,"0.5",7080,"2019-07-29 22:50:03.525155"
57,"Thiết bị gia đình","https://tiki.vn/thiet-bi-gia-dinh/c1946?src=tree",6,"0.5",5246,"2019-07-29 22:50:03.544899"
58,"Dụng cụ nhà bếp","https://tiki.vn/nha-bep/c1951?src=tree",7,"0.2",18932,"2019-07-29 22:50:04.064379"
59,"Đồ dùng phòng ăn","https://tiki.vn/phong-an/c1954?src=tree",7,"0.2",6470,"2019-07-29 22:50:04.084922"
60,"Đồ dùng phòng ngủ","https://tiki.vn/do-dung-phong-ngu/c8313?src=tree",7,"0.2",17254,"2019-07-29 22:50:04.103992"
61,"Nội thất","https://tiki.vn/noi-that/c2150?src=tree",7,"0.2",10752,"2019-07-29 22:50:04.126323"
62,"Trang trí nhà cửa","https://tiki.vn/trang-tri-nha-cua/c1973?src=tree",7,"0.2",61228,"2019-07-29 22:50:04.146605"
63,"Đèn & thiết bị chiếu sáng","https://tiki.vn/den-thiet-bi-chieu-sang/c2015?src=tree",7,"0.2",8154,"2019-07-29 22:50:04.166179"
64,"Ngoài trời & sân vườn","https://tiki.vn/ngoai-troi-san-vuon/c2223?src=tree",7,"0.2",6538,"2019-07-29 22:50:04.187374"
65,"Đồ dùng và thiết bị nhà tắm","https://tiki.vn/do-dung-va-thiet-bi-nha-tam/c1966?src=tree",7,"0.2",7892,"2019-07-29 22:50:04.251601"
66,"Sửa chữa nhà cửa","https://tiki.vn/sua-chua-nha-cua/c1974?src=tree",7,"0.2",11668,"2019-07-29 22:50:04.270692"
67,"Nhạc cụ","https://tiki.vn/nhac-cu/c10068?src=tree",7,"0.2",1630,"2019-07-29 22:50:04.291559"
68,"Hoa tươi và cây cảnh","https://tiki.vn/hoa-tuoi-va-cay-canh/c18852?src=tree",7,"0.2",916,"2019-07-29 22:50:04.3122"
69,"Thiết bị điều khiển thông minh","https://tiki.vn/thiet-bi-dieu-khien-thong-minh/c20492?src=tree",7,"0.2",231,"2019-07-29 22:50:04.331788"
70,"Dụng cụ diệt chuột, côn trùng","https://tiki.vn/dung-cu-diet-chuot-con-trung/c23004?src=tree",7,"0.2",393,"2019-07-29 22:50:04.35226"
71,"Pin và dụng cụ sạc pin","https://tiki.vn/pin-va-dung-cu-sac-pin/c23012?src=tree",7,"0.2",258,"2019-07-29 22:50:04.381068"
72,"Ổ cắm điện","https://tiki.vn/o-cam-dien/c2021?src=tree",7,"0.2",1107,"2019-07-29 22:50:04.401496"
73,"Dụng cụ vệ sinh","https://tiki.vn/dung-cu-ve-sinh/c23018?src=tree",7,"0.2",870,"2019-07-29 22:50:04.421534"
74,"Phụ kiện giặt ủi","https://tiki.vn/phu-kien-giat-ui/c23044?src=tree",7,"0.2",372,"2019-07-29 22:50:04.440718"
75,"Bảo vệ nhà cửa","https://tiki.vn/bao-ve-nha-cua/c23046?src=tree",7,"0.2",946,"2019-07-29 22:50:04.459698"
76,"Đồ thờ cúng","https://tiki.vn/do-tho-cung/c23054?src=tree",7,"0.2",1416,"2019-07-29 22:50:04.480011"
77,"Vật phẩm phong thủy","https://tiki.vn/vat-pham-phong-thuy/c5848?src=tree",7,"0.2",2822,"2019-07-29 22:50:04.501562"
78,"Ổn áp, biến áp","https://tiki.vn/on-ap-bien-ap/c11854?src=tree",7,"0.2",318,"2019-07-29 22:50:04.521117"
79,"Chăm sóc nhà cửa","https://tiki.vn/cham-soc-nha-cua/c15078?src=tree",8,"0.2",2756,"2019-07-29 22:50:04.979231"
80,"Bánh kẹo","https://tiki.vn/banh-keo/c4421?src=tree",8,"0.2",2065,"2019-07-29 22:50:04.999406"
81,"Thực phẩm","https://tiki.vn/thuc-pham/c15074?src=tree",8,"0.2",3942,"2019-07-29 22:50:05.01851"
82,"Đồ uống - Giải khát","https://tiki.vn/do-uong-giai-khat/c24024?src=tree",8,"0.2",1269,"2019-07-29 22:50:05.038375"
